name,parent,arg1,arg2,arg3
eat,.action,.animate,food,
drink,.action,.animate,drink.n,
sleep,.action,.animate,,
learn,.action,person,,
work,.action,person,,
sleep,.action,.animate,,
go,.action,person,.location?,
want,.action,person,,
food,.uncountable,,,
rice,food,,,
meat,food,,,
vegetables,food,,,
bananas,food,,,
chicken,meat,,,
fish,food,,,
chips,food,,,
drink.n,.uncountable,,,
cola,drink.n,,,
water,drink.n,,,
.animate,.countable,,,
person,.animate,,,
.family.member,person,,,
child,.family.member,,,
wife,.family.member,,,
husband,.family.member,,,
chitenje,clothing,,,
family.member,person,,,
clothing,object,,,
sunday,weekday,,,
monday,weekday,,,
tuesday,weekday,,,
wednesday,weekday,,,
thursday,weekday,,,
friday,weekday,,,
saturday,weekday,,,
today,.rel.time,,,
tomorrow,.rel.time,,,
yesterday,.rel.time,,,
week,.time.period,,,
month,.time.period,,,
year,.time.period,,,
day,.time.period,,,
morning,.time.of.day,,,
afternoon,.time.of.day,,,
evening,.time.of.day,,,
night,.time.of.day,,,
